Issue #,Title,Assignee(s),Status,Story Points,Business Value,Sprint
1,Create NPC,matthew-jumper,Done,3,10,Sprint 1
2,View NPC List,matthew-jumper,Done,2,10,Sprint 1
3,Edit NPC,matthew-jumper,Done,3,9,Sprint 1
4,Delete NPC,matthew-jumper,Done,2,8,Sprint 1
15,Persist Data,TheSirLancelot,Done,8,10,Sprint 1
31,Default ID schema fix,TheSirLancelot,Done,1,8,Sprint 1
38,Add NPC Image,matthew-jumper,Done,5,8,Sprint 2
39,Add NPC Stat Block,matthew-jumper,Done,5,9,Sprint 2
40,Create Location,matthew-jumper,Done,3,8,Sprint 2
41,View Locations,matthew-jumper,Done,2,7,Sprint 2
42,Edit Locations,matthew-jumper,Done,3,7,Sprint 2
43,Delete Location,matthew-jumper,Done,2,6,Sprint 2
5,Create Faction,matthew-jumper,Done,3,8,Sprint 3
6,Assign NPC to Faction,matthew-jumper,Done,3,7,Sprint 3
7,View Faction Members,matthew-jumper,Done,2,6,Sprint 3
8,Create Session Log,TheSirLancelot,Done,5,9,Sprint 3
11,Filter NPCs by Faction,"Copilot, TheSirLancelot",Done,3,6,Sprint 3
12,Sort NPC List,matthew-jumper,Done,2,5,Sprint 3
9,Tag NPCs in Session,"Copilot, TheSirLancelot",Done,5,8,Sprint 4
10,Search Sessions,,Done,3,7,Sprint 4
13,View Relationship Graph,,Sprint Backlog,8,5,Sprint 4
26,Full-text search across NPCs and sessions,,Sprint Backlog,5,3,Sprint 4
27,Direct NPC-to-NPC relationships,,Sprint Backlog,8,4,Sprint 4
44,Associate Entities with Locations,,Sprint Backlog,8,7,Sprint 4
14,View Campaign Timeline,,Product Backlog,5,5,
23,User Authentication and Access Control,,Product Backlog,13,4,
24,Multiple Campaigns with Scoped Data Access,,Product Backlog,13,5,
25,Caching Layer for Database Queries,,Product Backlog,5,2,
28,Summary metrics (NPC refs / session frequency),,Product Backlog,5,3,
29,Export campaign data to JSON/CSV,,Product Backlog,3,4,
30,Unit and integration tests,,Product Backlog,8,5,
45,Map Visualization,,Product Backlog,1,6,
50,Implement Database Migration Strategy,,Product Backlog,5,5,
